iter	RMSE
0	0.3427637982
1	0.2622830311
2	0.2187770119
3	0.1912555224
4	0.1732246841
5	0.1644326359
6	0.1550127374
7	0.1492296294
8	0.1420593327
9	0.1383827611
10	0.1357708203
11	0.1331715162
12	0.1293715706
13	0.1270601222
14	0.1246672049
15	0.1219181245
16	0.120505345
17	0.1182704583
18	0.1157694254
19	0.1128984277
20	0.1123266714
21	0.1096132567
22	0.1085687586
23	0.1053867177
24	0.1047485346
25	0.1033597807
26	0.1031400783
27	0.1027046819
28	0.1015540926
29	0.09923484799
30	0.0971563665
31	0.09375995949
32	0.09154481171
33	0.09050684977
34	0.08857883274
35	0.08810102199
36	0.08540949821
37	0.08318407452
38	0.08244161181
39	0.08110833996
40	0.07931676431
41	0.07853127317
42	0.07591886214
43	0.07583782648
44	0.07497234077
45	0.07416141288
46	0.07402597123
47	0.07381026224
48	0.07305648615
49	0.07112794741
